date,close,light
6-Mar-00,4,3
8-Mar-00,15,15
10-Mar-00,1,3
31-Mar-00,2,3
2-Apr-00,6,17
14-Apr-00,11,4
15-Apr-00,2,4
30-Apr-00,1,14
1-May-00,28,14
3-May-00,4,3
4-May-00,39,14
5-May-00,27,16
6-May-00,14,4
7-May-00,4,4
8-May-00,6,4
9-May-00,8,14
9-May-00,8,3
10-May-00,0,3
11-May-00,2,9
12-May-00,14,10
13-May-00,7,9
15-May-00,1,9
17-May-00,4,3
20-May-00,0,9
21-May-00,0,9
23-May-00,6,11
24-May-00,6,3
29-May-00,2,17
30-May-00,1,9
4-Sep-00,4,16
5-Sep-00,1,16
8-Sep-00,25,16
9-Sep-00,30,16
10-Sep-00,11,16
11-Sep-00,9,16
12-Sep-00,29,16
13-Sep-00,23,16
14-Sep-00,6,16
15-Sep-00,29,15
17-Sep-00,9,15
18-Sep-00,2,15
19-Sep-00,1,15
20-Sep-00,6,15
21-Sep-00,21,4
22-Sep-00,3,10
23-Sep-00,0,3
24-Sep-00,2,10
25-Sep-00,6,6
26-Sep-00,8,12
27-Sep-00,8,13
28-Sep-00,11,11
1-Oct-00,0,12
2-Oct-00,4,10
3-Oct-00,41,14
4-Oct-00,8,17
5-Oct-00,12,14
6-Oct-00,8,15
7-Oct-00,21,16
8-Oct-00,35,17
9-Oct-00,32,17
10-Oct-00,29,16
11-Oct-00,19,16
12-Oct-00,5,17
13-Oct-00,2,16
14-Oct-00,2,16
15-Oct-00,155,16
16-Oct-00,18,14
18-Oct-00,2,11
19-Oct-00,7,11
20-Oct-00,5,11
21-Oct-00,5,10
22-Oct-00,5,10
23-Oct-00,7,11
24-Oct-00,0,17
25-Oct-00,4,17
26-Oct-00,4,17
27-Oct-00,11,17
28-Oct-00,1,17
29-Oct-00,2,17
30-Oct-00,1,17
31-Oct-00,1,17
1-Nov-00,2,17
2-Nov-00,1,17
3-Nov-00,11,17
4-Nov-00,61,17
5-Nov-00,6,17
6-Nov-00,0,17
7-Nov-00,1,17
8-Nov-00,0,17
9-Nov-00,1,15
10-Nov-00,8,15
11-Nov-00,6,14
12-Nov-00,0,14
13-Nov-00,1,16
14-Nov-00,2,14
15-Nov-00,14,14
16-Nov-00,3,14
17-Nov-00,7,3
18-Nov-00,0,4
19-Nov-00,1,6
19-Mar-01,0,3
20-Mar-01,0,3
21-Mar-01,0,3
22-Mar-01,0,14
26-Mar-01,0,3
28-Mar-01,1,15
29-Mar-01,1,15
30-Mar-01,0,15
31-Mar-01,1,14
1-Apr-01,0,16
2-Apr-01,2,17
3-Apr-01,2,14
4-Apr-01,0,14
5-Apr-01,4,17
6-Apr-01,13,14
7-Apr-01,2,17
8-Apr-01,3,3
9-Apr-01,5,3
10-Apr-01,2,14
11-Apr-01,4,14
12-Apr-01,16,14
13-Apr-01,1,3
14-Apr-01,2,3
15-Apr-01,0,3
16-Apr-01,0,4
18-Apr-01,0,3
19-Apr-01,0,3
20-Apr-01,4,4
21-Apr-01,11,14
22-Apr-01,4,14
23-Apr-01,28,16
24-Apr-01,12,3
25-Apr-01,2,14
26-Apr-01,6,14
27-Apr-01,9,14
